S_min,#C_min_0,#C_min_1,#C_min_2,#C_min_3,#C_min_4,#C_min_5,#C_min_6
0.125000,-64.655277,-62.310841,-59.832348,-57.081713,-54.533444,-nan,-nan
0.130000,-64.665891,-62.325585,-59.849366,-57.084066,-54.530435,-nan,-nan
0.135000,-64.679204,-62.341565,-59.861897,-57.099027,-54.564785,-nan,-nan
0.140000,-64.692592,-62.356776,-59.879996,-57.111370,-54.578809,-nan,-nan
0.145000,-64.705476,-62.373158,-59.895736,-57.115832,-54.557034,-nan,-nan
0.150000,-64.718348,-62.390146,-59.911841,-57.135054,-54.595724,-nan,-nan
0.155000,-64.732498,-62.408968,-59.931186,-57.151002,-54.612677,-nan,-nan
0.160000,-64.745016,-62.428770,-59.948849,-57.162534,-54.623398,-nan,-nan
0.165000,-64.759569,-62.446245,-59.966306,-57.171985,-54.653866,-nan,-nan
0.170000,-64.776699,-62.466102,-59.985762,-57.187471,-54.646167,-nan,-nan
0.175000,-64.791715,-62.487332,-60.004092,-57.201193,-54.655738,-nan,-nan
0.180000,-64.808856,-62.508475,-60.022772,-57.213705,-54.666099,-nan,-nan
0.185000,-64.826599,-62.529884,-60.045169,-57.226861,-54.705229,-nan,-nan
0.190000,-64.840953,-62.551502,-60.063411,-57.240134,-54.734832,-nan,-nan
0.195000,-64.858168,-62.574973,-60.084043,-57.257702,-54.750648,-nan,-nan
0.200000,-64.879000,-62.598117,-60.103622,-57.267826,-54.761852,-nan,-nan
0.205000,-64.893712,-62.623382,-60.124061,-57.288682,-54.776541,-nan,-nan
0.210000,-64.912095,-62.647148,-60.146290,-57.305039,-54.794761,-nan,-nan
0.215000,-64.931214,-62.671868,-60.168824,-57.319538,-54.821042,-nan,-nan
0.220000,-64.953473,-62.697761,-60.191013,-57.338683,-54.848402,-nan,-nan
0.225000,-64.973067,-62.724415,-60.213708,-57.355993,-54.863009,-nan,-nan
0.230000,-64.991165,-62.751925,-60.238508,-57.374887,-54.899291,-nan,-nan
0.235000,-65.016884,-62.781126,-60.261684,-57.395445,-54.911830,-nan,-nan
0.240000,-65.035770,-62.808676,-60.286882,-57.414086,-54.932846,-nan,-nan
0.245000,-65.058373,-62.838127,-60.311446,-57.432664,-54.956825,-nan,-nan
0.250000,-65.081188,-62.867459,-60.336966,-57.453714,-54.977446,-nan,-nan
0.255000,-65.103191,-62.897346,-60.361930,-57.477009,-55.007315,-nan,-nan
0.260000,-65.129499,-62.928887,-60.389722,-57.498297,-55.027195,-nan,-nan
0.265000,-65.155327,-62.961629,-60.416990,-57.519061,-55.057015,-nan,-nan
0.270000,-65.177537,-62.994415,-60.446446,-57.543044,-55.083816,-nan,-nan
0.275000,-65.201571,-63.026573,-60.474655,-57.566910,-55.114226,-nan,-nan
0.280000,-65.231742,-63.060532,-60.504654,-57.591521,-55.149402,-nan,-nan
0.285000,-65.255283,-63.094429,-60.534105,-57.615080,-55.175157,-53.491656,-nan
0.290000,-65.282170,-63.129949,-60.565421,-57.640865,-55.208881,-nan,-nan
0.295000,-65.311650,-63.165699,-60.595209,-57.666876,-55.233617,-nan,-nan
0.300000,-65.338200,-63.204764,-60.629542,-57.694874,-55.265657,-nan,-nan
0.305000,-65.369465,-63.240949,-60.660828,-57.722464,-55.287285,-nan,-nan
0.310000,-65.398704,-63.278886,-60.696455,-57.751343,-55.333633,-53.640440,-nan
0.315000,-65.429205,-63.317936,-60.729777,-57.779676,-55.370899,-nan,-nan
0.320000,-65.462498,-63.357579,-60.766903,-57.811157,-55.401795,-nan,-nan
0.325000,-65.489552,-63.398851,-60.802317,-57.840435,-55.433812,-53.721310,-nan
0.330000,-65.529264,-63.441873,-60.840363,-57.874573,-55.473900,-nan,-nan
0.335000,-65.556002,-63.482986,-60.876752,-57.906673,-55.518941,-nan,-nan
0.340000,-65.594688,-63.528093,-60.918798,-57.941946,-55.556672,-nan,-nan
0.345000,-65.627405,-63.572716,-60.957016,-57.974564,-55.590647,-nan,-nan
0.350000,-65.667949,-63.619654,-61.000167,-58.012521,-55.636346,-nan,-nan
0.355000,-65.704715,-63.665621,-61.041023,-58.047679,-55.681736,-nan,-nan
0.360000,-65.743978,-63.714684,-61.086852,-58.085968,-55.725655,-nan,-nan
0.365000,-65.783488,-63.763034,-61.129192,-58.122999,-55.772410,-53.358658,-nan
0.370000,-65.828333,-63.815556,-61.178450,-58.167024,-55.817384,-54.313343,-nan
0.375000,-65.867695,-63.866084,-61.222714,-58.205299,-55.865040,-54.200544,-nan
0.380000,-65.915678,-63.918802,-61.272799,-58.247833,-55.917889,-nan,-nan
0.385000,-65.957156,-63.972357,-61.322391,-58.289706,-55.969667,-nan,-nan
0.390000,-66.015250,-64.029708,-61.374986,-58.339641,-56.024771,-nan,-nan
0.395000,-66.054575,-64.086891,-61.423470,-58.380442,-56.071914,-54.558404,-nan
0.400000,-66.109090,-64.148494,-61.480673,-58.431034,-56.132012,-54.248665,-nan
0.405000,-66.162461,-64.206154,-61.533809,-58.479518,-56.193649,-nan,-nan
0.410000,-66.218670,-64.269998,-61.592214,-58.531541,-56.247242,-54.093795,-nan
0.415000,-66.269195,-64.331711,-61.649374,-58.579929,-56.307284,-54.572551,-nan
0.420000,-66.336277,-64.400235,-61.711892,-58.635202,-56.369096,-nan,-nan
0.425000,-66.392790,-64.467133,-61.771087,-58.689494,-56.430834,-53.992786,-nan
0.430000,-66.459092,-64.536980,-61.837823,-58.747960,-56.503588,-54.313343,-nan
0.435000,-66.524023,-64.607197,-61.901246,-58.802669,-56.573835,-nan,-nan
0.440000,-66.602119,-64.683850,-61.969458,-58.867115,-56.648410,-nan,-nan
0.445000,-66.673620,-64.758706,-62.039027,-58.929607,-56.730334,-54.432517,-nan
0.450000,-66.748049,-64.837938,-62.111489,-58.993353,-56.800771,-nan,-nan
0.455000,-66.828135,-64.918769,-62.185245,-59.056345,-56.881682,-nan,-nan
0.460000,-66.912969,-65.003307,-62.264729,-59.130742,-56.954497,-nan,-nan
0.465000,-67.001157,-65.089583,-62.340111,-59.194531,-57.028675,-54.558404,-nan
0.470000,-67.081899,-65.176918,-62.424427,-59.276848,-57.127721,-55.659545,-nan
0.475000,-67.172306,-65.269431,-62.504412,-59.350718,-57.219135,-nan,-nan
0.480000,-67.280001,-65.369221,-62.594007,-59.423928,-57.306725,-nan,-nan
